id,company_id,mdm_source,serial_number,model_name,asset_type,condition_grade,quantity,reason_for_offload,purchase_date,original_purchase_price,ram_gb,storage_gb,cpu_score
98224d40-e055-4751-b338-a4c8ed181e9d,00000000-0000-0000-0000-000000000001,manual,SN1958682846,"MacBook Pro 14"" M3 Pro",laptop,A,12,Merging duplicate device pools,2023-10-25,1999,18,512,9200
c70d4302-61b5-4764-bf1e-3a54a0d56ea0,00000000-0000-0000-0000-000000000001,manual,SN7831113321,"MacBook Pro 16"" M3 Max",laptop,C,12,Hardware refresh cycle,2022-04-20,3499,48,1024,9800
87c6c6b3-33d3-45e5-8ce6-42f8ff3325cb,00000000-0000-0000-0000-000000000001,intune,SN3585650756,"MacBook Air 13"" M2",laptop,A,4,Remote workforce reduction,2024-01-20,1099,8,256,7800
2398afbe-97e0-4113-83b0-5c96cc8eb8bd,00000000-0000-0000-0000-000000000001,intune,SN2801823908,"MacBook Air 15"" M2",laptop,C,11,MDM migration — fleet standardization,2021-06-04,1499,16,512,7900
bd58d4e0-1f4b-488b-91cf-94da592f418e,00000000-0000-0000-0000-000000000001,manual,SN8293453178,"MacBook Air 15"" M2",laptop,C,5,Surplus from office downsizing,2025-04-27,1499,16,512,7900
55b60589-37e0-4918-8f9d-14ecfd36fb30,00000000-0000-0000-0000-000000000001,manual,SN5693307665,Dell Latitude 5540,laptop,A,4,Hardware refresh cycle,2023-06-21,1349,16,512,6200
20fc4202-63d3-46bc-99a9-03285a55f78b,00000000-0000-0000-0000-000000000001,jamf_pro,SN4466589567,Dell Latitude 5540,laptop,B,6,Merging duplicate device pools,2021-12-21,1349,16,512,6200
e270cc25-cbd3-47e9-9562-1bbbc548e9d0,00000000-0000-0000-0000-000000000001,jamf_pro,SN9928378856,Dell Latitude 5540,laptop,B,9,Surplus from office downsizing,2024-08-28,1349,16,512,6200
44e32227-4c60-40c4-8acc-772469276e4f,00000000-0000-0000-0000-000000000001,manual,SN9786748825,Dell Latitude 7440,laptop,C,4,Upgrading to newer model,2021-05-29,1799,32,512,7100
adafefe4-f88e-4279-a4fb-7f04595f0bab,00000000-0000-0000-0000-000000000001,manual,SN6927597015,Dell Latitude 7440,laptop,B,2,MDM migration — fleet standardization,2024-01-20,1799,32,512,7100
3b070d68-92dc-48a7-848a-1670b95316fb,00000000-0000-0000-0000-000000000001,jamf_pro,SN2525876051,Dell Latitude 7440,laptop,C,6,Merging duplicate device pools,2024-06-11,1799,32,512,7100
22b40331-74ef-42b5-bca5-18d885fba5cd,00000000-0000-0000-0000-000000000001,manual,SN4131575764,Lenovo ThinkPad X1 Carbon,laptop,C,11,Upgrading to newer model,2021-09-21,1649,16,512,6800
4457815d-c91e-4be2-aad9-b1c5db3d8148,00000000-0000-0000-0000-000000000001,intune,SN1240251661,Lenovo ThinkPad X1 Carbon,laptop,B,7,,2023-11-05,1649,16,512,6800
c40a984e-7fdd-4d9a-bd1b-fff8cce4433b,00000000-0000-0000-0000-000000000001,jamf_pro,SN1284277889,Lenovo ThinkPad X1 Carbon,laptop,A,6,Remote workforce reduction,2023-02-09,1649,16,512,6800
0b74710d-e0ac-44ab-b715-4993ac222d67,00000000-0000-0000-0000-000000000001,jamf_pro,SN8055995058,Lenovo ThinkPad T14s,laptop,A,11,Upgrading to newer model,2022-07-23,1249,16,256,6100
7f580ad1-6762-44cf-b9d8-dedf13f04637,00000000-0000-0000-0000-000000000001,intune,SN7805745017,Lenovo ThinkPad T14s,laptop,B,3,Remote workforce reduction,2023-12-22,1249,16,256,6100
5558c29e-76ef-4ce0-9734-b9f2f17cdb71,00000000-0000-0000-0000-000000000001,manual,SN7483366056,Lenovo ThinkPad T14s,laptop,B,6,Hardware refresh cycle,2024-02-16,1249,16,256,6100
b7cc2c02-b38b-4846-b08f-c1012253c6eb,00000000-0000-0000-0000-000000000001,manual,SN5567816720,HP EliteBook 840 G10,laptop,A,3,MDM migration — fleet standardization,2021-11-02,1399,16,512,6500
235ca902-9d27-4d41-ab9a-2c4d13b077ea,00000000-0000-0000-0000-000000000001,manual,SN8519962896,Dell XPS 15,laptop,C,5,,2022-04-03,2199,32,1024,8100
